a,b,c,d,e,f,g,hh,i,j
TRANSGEAR ELECTRICAL SERVICES PRIVA,,,,ODDAKALLASANDRA BANGALORE,.,0.1,1,213105474,713023309
DEEAAR ESJAY ENTERPRISES LLP,,,, BENGALURUKARNATAKA ,.,0.1,1,213105479,714002437
EVERVOLT GREEN ENERGY,,,, BANGALOREKARNATAKA ,.,0.1,1,213105484,714012220
TELMA SOLUTIONS,,,, BANGALOREKARNATAKA ,.,0.1,1,213105486,714013161
ECO WOODEN HOMES,,,,BANGALORE KARNATAKA ,.,0.1,1,213105500,715005481
ORIG PHARMACEUTICALS,,,,J P NAGAR KARNATAKA ,.,0.1,1,213105502,715006258
STELLAR ENGINEERING,,,,BENGALURU KARNATAKA ,.,0.1,1,213105505,715009061
RANBO FLORA,,,,BENGALURU KARNATAKA ,.,0.1,1,213105509,715011588
VINSURWAVES,,,,Y PHASE 1 BENGALURU ,.,0.1,1,213105512,715013530
SRI NARAYANI PLASTICS PRIVATE,,,,OUTH TALUKKARNATAKA ,.,0.1,1,213105514,715015460
NOEL MACHINERY,,,,BANGALORE KARNATAKA ,.,0.1,1,213105516,715018051
S C ENTERPRISES,,,,AR BELGAUM.BELGAVI.100000,.,0.1,1,213105517,715018884
PROMISEED PHARMALIFE,,,,AMBHRAM COLLEGE BANGALORE,.,0.1,1,213105519,715019872
CHAMPION COATS INDUSTRIES,,,,BANGALORE KARNATAKA ,.,0.1,1,213105520,715021486
DIMENSION NEXT INFOCOM PVT LTD,,,,3RD FLOOR NEW DELHI ,.,0.1,1,213105149,599019808
SAAV INC,,,,DLI.SONEPATHHARYANA100000,.,0.1,1,213105164,599064056
SHRI GOPAL TRADING COMPANY,,,,ARKET    55/9 KAHOO KHOTI,.,0.1,1,213105181,603002994
EVEREST TANNING INDUSTRIES,,,,ANPUR UTTAR PRADESH ,.,0.1,1,213105182,603007414
VICTORY,,,,"VISHNUPURI  KANPUR, ",.,0.1,1,213105188,605009830
AVANT GRADE TRADING COMPANY,,,,DENTIAL COLONY  LUCKNOW-1,.,0.1,1,213105191,605013209
R K TRADING CO,,,,RS LANE 1ST FLOOR KOLKATA,.,0.1,1,213105193,605018723
ADM IMPEX,,,,ANJ GARDEN.ALIGANJ.100000,.,0.1,1,213105194,605019771
ARPAN AGENCIES,,,, ROAD AMINABAD LUCKNOW UP,.,0.1,1,213105197,606002731
AMAR OVERSEAS,,,,"LLITE BUS STAND, BAREILLY",.,0.1,1,213105202,607005149
ADITYA OVERSEAS,,,,ANPUR UTTAR PRADESH ,.,0.1,1,213105205,608003280
EXCEL OVERSEAS,,,,NAGAR UTTAR PRADESH ,.,0.1,1,213105208,608007501
KHALSA ENTERPRISES,,,,CKNOW UTTAR PRADESH ,.,0.1,1,213105214,609005987
JAI PUSHPA INDUSTRIES,,,, AGRA UTTAR PRADESH ,.,0.1,1,213105223,610001302
"M/S. ZEE CHEMICALS,",,,,"PUR, UTTAR PRADESH, ",.,0.1,1,213105231,610009532
KUNAL RETAILS,,,,KANPURUTTAR PRADESH ,.,0.1,1,213105236,611006111
COSMO INTERNATIONAL,,,, AGRA UTTAR PRADESH ,.,0.1,1,213105248,613003438
YADAV CRANE SERVICES PVT LTD,,,,L AGRAUTTAR PRADESH ,.,0.1,1,213105250,614001048
VERDANT SEEDS AND,,,,UCKNOWUTTAR PRADESH ,.,0.1,1,213105251,614006732
THE CLAAZ,,,,ANPUR UTTAR PRADESH ,.,0.1,1,213105253,615001394
PARAGON PEOPLE,,,,ANPUR UTTAR PRADESH ,.,0.1,1,213105254,615001408
ECLAT MOBITECH LLP,,,,"HAZRATGANJ, LUCKNOW, U.P.",.,0.1,1,213105255,615001629
AFTEK MOTORS INDIA,,,,GOMTI NAGAR LUCKNOW ,.,0.1,1,213105262,616500025
INSOLOX SPORTS INFRATECH PVT LTD,,,,OTEL  UTTAR PRADESH ,.,0.1,1,213105263,616902727
ASCOGLOBAL EXIM PRIVATE LIMITED,,,,CKNOW UTTAR PRADESH ,.,0.1,1,213105264,616903057
FIRST RATE PAPER SOLUTION,,,,CKNOW UTTAR PRADESH ,.,0.1,1,213105265,616907214
YARRA INDUSTRIES PRIVATE LIMITED,,,,CKNOW UTTAR PRADESH ,.,0.1,1,213105270,617503401
KAPCHAR SOLUTIONS,,,,Y AGRA UTTAR PRADESH,.,0.1,1,213105271,617504415
INJECTOPLAST PVT LTD,,,,KANPURUTTAR PRADESH ,.,0.1,1,213105272,688002421
ZENITH PRECISION PRIVATE LIMITED,,,,BANGALORE KARNATAKA ,.,0.1,1,213105280,700000534
DEEPTI ELECTRONICS AND ELECTRO,,,, BANGALOREKARNATAKA ,.,0.1,1,213105284,700016627
TESCOM,,,,BANGALORE KARNATAKA ,.,0.1,1,213105286,701004088
DIVYA IMPEX,,,,BANGALORE KARNATAKA ,.,0.1,1,213105290,701013389
BELLE VUES CAMBRIDGE HOSPITAL OF KSFC,,,,ANGALORE.BENGALURU.100000,.,0.1,1,213105292,702001813
SUDARRSHAN TECH SERVICES,,,,BANGALORE KARNATAKA ,.,0.1,1,213105293,702005452
SAIRAG INTERNATIONAL,,,, BANGALOREKARNATAKA ,.,0.1,1,213105299,702016063
HYPER ARTHO INDUSTRIES,,,, BANGALOREKARNATAKA ,.,0.1,1,213105303,703009036
NEEDLES MARKETING,,,,ANGALORE  KARNATAKA ,.,0.1,1,213105304,703018043
TOYAMA CONTROLS AND SYSTEMS,,,, BANGALOREKARNATAKA ,.,0.1,1,213105306,703022164
CNC INDIA TOOLS AND SERVICES,,,,BANGALURU KARNATAKA ,.,0.1,1,213105317,704010437
NEW ERA ASSOCIATES,,,,BANGALORE KARNATAKA ,.,0.1,1,213105319,704013011
VARNA IMAGING,,,,LGULBARGA KARNATAKA ,.,0.1,1,213105322,704021544
SRI VENKATESHWARA CRANES.,,,,RUTHI INDUSTRIAL ESTATE O,.,0.1,1,213105327,705005071
ADVINUS THERAPEUTICS LTD,,,,BANGALORE KARNATAKA ,.,0.1,1,213105330,0705008690_1
EUROFINS ADVINUS LIMITED,,,,BENGALURU KARNATAKA ,.,0.1,1,213105331,0705008690_2
AMAR MACHINE TOOLS,,,,BANGALORE KARNATAKA ,.,0.1,1,213105332,705013324
CHALUKYA HOLIDAY RESORTS PVT. LTD,,,,ANGALORE WEST BENGAL,.,0.1,1,213105335,705020061
DOLLAR SENSE,,,,BENGALURU KARNATAKA ,.,0.1,1,213105344,706013409
NAGASWAMY AND CO.,,,,BANGALORE KARNATAKA ,.,0.1,1,213105347,706019474
BANAVATHY POWER SYSTEMS PVT LTD,,,,BANGALORE KARNATAKA ,.,0.1,1,213105362,707023467
NAGSWAMY ASSOCIATES,,,,ORE RURAL KARNATAKA ,.,0.1,1,213105364,708002030
INGWENYA MINERAL TECH PVT LTD,,,, BANGALOREKARNATAKA ,.,0.1,1,213105365,708004024
FLORANCE FLORA FARM,,,,ANCE FLORA FARM NTI HOUSI,.,0.1,1,213105366,708010253
L AND W BUILDING SOLUTIONS PVT.,,,,", BANGALORE-560027, ",.,0.1,1,213105368,0708013830_1
SFS EQUIPMENTS PRIVATE,,,,BANGALORE KARNATAKA ,.,0.1,1,213105374,709004451
PAVLIN INC,,,,BANGALORE KARNATAKA ,.,0.1,1,213105375,709010231
DISUKU AUTO CLUTCH,,,,FARIDABAD,121001,0.1,1,213104664,515071994
MAHIMA TRADING,,,,FARIDABAD,121001,0.1,1,213104695,515909084
YAMINI ENTERPRISES,,,,FARIDABAD,121001,0.1,1,213104815,516933281
GUNJAN EXIM,,,,FARIDABAD,121001,0.1,1,213104827,516941381
FORENSIC CARE TECHNOLOGIES,,,,FARIDABAD,121001,0.1,1,213104831,516945301
SRI KRISHNA ENGINEERING SERVICES PR,,,,FARIDABAD,121001,0.1,1,213104912,516996401
GALLIUM INDUSTRIES LIMITED,,,,FARIDABAD,121001,0.1,1,213104985,588031364
IMPERIAL AUTO INDUSTRIES LIMITED,,,,FARIDABAD,121001,0.1,1,213105123,598003851
WIA PLASTIC MACHINERY PVT LTD,,,,FARIDABAD,121001,0.1,1,213109276,AACCW0505B
SHIVAAY METAL,,,,FARIDABAD,121001,0.1,1,213110617,BJLPS2468B
LALIT MINING PETROCHEMICALS P LTD,,,,FARIDABAD,121002,0.1,1,213103325,505006189
PDTT METALS PVT LTD,,,,FARIDABAD,121002,0.1,1,213104104,513024131
MULTITECH SALES AND SERVICES,,,,FARIDABAD,121002,0.1,1,213104173,513057951
J S LAMP INDUSTRIES,,,,FARIDABAD,121002,0.1,1,213105081,594073332
MITHABHI LAMPS PVT LTD,,,,FARIDABAD,121002,0.1,1,213105136,598043250
MEDSOURCE OZONE BIOMEDICALS PVT LTD,,,,FARIDABAD,121003,0.1,1,213103258,503021873
TEKSHIV SYSTEMS PVT LTD,,,,FARIDABAD,121003,0.1,1,213103268,503045977
SUCHIR BOWLING PRIVATE LIMITED,,,,FARIDABAD,121003,0.1,1,213103405,506018792
KKSPUN INDIA LIMITED,,,,FARIDABAD,121003,0.1,1,213103523,508002516
PRUBEL METALS,,,,FARIDABAD,121003,0.1,1,213104456,514065770
AI NOVA LIGHTING,,,,FARIDABAD,121003,0.1,1,213104545,515016624
HD INTERNATIONAL,,,,FARIDABAD,121003,0.1,1,213104727,516000276
AMBUJA ACCESSORIZE CLOTHING LLP,,,,FARIDABAD,121003,0.1,1,213104858,516964607
TALBROS AUTOMOTIVE COMPONENTS LTD,,,,FARIDABAD,121003,0.1,1,213104988,588044440
AGILENOBEL,,,,FARIDABAD,121003,0.1,1,213105238,611007177
ASPEN ONLINE PVT.LTD,,,,FARIDABAD,121004,0.1,1,213103182,500063231
AGNI INDUSTRIAL FIRE SERVICE LTD,,,,FARIDABAD,121004,0.1,1,213103395,505099314
RUNSHENG TECHNOLOGIES PVT LTD,,,,FARIDABAD,121004,0.1,1,213104631,515054372
ATON INTERNATIONAL,,,,FARIDABAD,121004,0.1,1,213104953,517532395
ESCORTS LIMITED,,,,FARIDABAD,121004,0.1,1,213105002,588095001
JBM INDUSTRIES LIMITED,,,,FARIDABAD,121005,0.1,1,213103161,500015481
S J RUBBER INDUSTRIES LIMITED,,,,FARIDABAD,121005,0.1,1,213103780,510080545
PROCAST INDIA,,,,FARIDABAD,121005,0.1,1,213104818,516934678
ADITYA NIRYAT,,,,FARIDABAD,121006,0.1,1,213103238,502056835
M/S GROWMORE,,,,FARIDABAD,121006,0.1,1,213103431,506055957
CONSUMER TOUCH,,,,FARIDABAD,121006,0.1,1,213104446,514063424
THE PLASTIC POINT,,,,FARIDABAD,121006,0.1,1,213104699,515912301
GDH PURE,,,,FARIDABAD,121006,0.1,1,213110228,AEFPR5630G
SHOBHAG INTERNATIONAL,,,,FARIDABAD,121007,0.1,1,213104539,515015458
ABHA ELECTRONIC,,,,FARIDABAD,121008,0.1,1,213110667,BVWPA8809B
TACKER TECHNOLOGIES  P  LTD,,,,FARIDABAD,121009,0.1,1,213103209,501045902
TAYLOR KRAFT,,,,FARIDABAD,121009,0.1,1,213103225,502028998
WHITE THREAD,,,,FARIDABAD,121010,0.1,1,213104623,515051438
PARTH CREATIVITY LLP,,,,FARIDABAD,121010,0.1,1,213104697,515911003
RNG EXIM,,,,FARIDABAD,121010,0.1,1,213110677,BXRPS2656B
LORD KRISHNA INTERNATIONAL,,,,HARYANA,121102,0.1,1,213108237,3316905111
PHOENIX COMTRADE PVT LTD,,,,GURGAON,122001,0.1,1,213101764,306080192
LAXMI IMPEX,,,,GURGAON,122001,0.1,1,213101926,309048974
STERLITE TECHNOLOGIES,,,,GURGAON,122001,0.1,1,213102367,388104180
SUPREME RUBBER INDUSTRIES,,,,GURGAON,122001,0.1,1,213103178,500055386
NEW AGE INSTRUMENTS AND MATERIALS,,,,GURGAON,122001,0.1,1,213103199,501018174
HAYAT COMMUNICATION PVT LTD,,,,GURGAON,122001,0.1,1,213103201,501022813
GENESIS COLORS PVT.LTD.,,,,GURGAON,122001,0.1,1,213103212,501058591
HAPA FASHION PVT LTD,,,,GURGAON,122001,0.1,1,213103275,503065889
UNIQUE MEDICAL DEVICES,,,,GURGAON,122001,0.1,1,213103357,505053381
NEW AGE INSTRUMENTS AND MAT.PVT LTD,,,,GURGAON,122001,0.1,1,213103362,505059363
THE GRACEWOOD INTERIORS,,,,GURGAON,122001,0.1,1,213103400,506007553
TEN AND CO,,,,GURGAON,122001,0.1,1,213103408,506028470
IMPERIAL LIFE SCIENCES P LTD,,,,GURGAON,122001,0.1,1,213103415,506032329
SHIV SHAKTI ENTERPRISES,,,,GURGAON,122001,0.1,1,213103559,508052599
MARVEL CRAFTS PRIVATE LIMITED,,,,GURGAON,122001,0.1,1,213103562,508059470
REMMERS INDIA PVT.LTD,,,,GURGAON,122001,0.1,1,213103564,508061881
GLOBAL FRAGRANCES PVT LTD,,,,GURGAON,122001,0.1,1,213103577,508075556
EKTA ENTERPRISES,,,,GURGAON,122001,0.1,1,213103582,508081718
EAGE ELECTRONICS PVT LTD,,,,GURGAON,122001,0.1,1,213103624,509031595
SA AIR WORKS INDIA PVT LTD,,,,GURGAON,122001,0.1,1,213103716,510026346
RAJDHANI SYNTEX PRIVATE LIMITED,,,,GURGAON,122001,0.1,1,213103728,510039171
INSIDE OUTSIDE,,,,GURGAON,122001,0.1,1,213103740,510046517
SHRISHTI TECHNOLOGIES,,,,GURGAON,122001,0.1,1,213103795,510094228
SHASHWAT ENTERPRISES,,,,GURGAON,122001,0.1,1,213103859,511048882
FLIGHT SIMULATION TECHNIQUE,,,,GURGAON,122001,0.1,1,213103865,511050577
AROCON SYSTEM,,,,GURGAON,122001,0.1,1,213103917,511098979
GREENOMICS PRODUCTS,,,,GURGAON,122001,0.1,1,213103943,512014779
GOLDEN AGRI RESOURCES,,,,GURGAON,122001,0.1,1,213103965,512037094
SAMRIDH ENTERPRISES,,,,GURGAON,122001,0.1,1,213103981,512050244
BVM INDIA,,,,GURGAON,122001,0.1,1,213103989,512056455
ACME MEDICAL TECHNOLOGY,,,,GURGAON,122001,0.1,1,213103992,512059349
MEGHA OVERSEAS,,,,GURGAON,122001,0.1,1,213103993,512059489
FINEDGE ENGISOLS PVT LTD,,,,GURGAON,122001,0.1,1,213104002,512066485
BAVARIAN ENERGY TECHNOLOGIES INDIA PVT. LTD,,,,GURGAON,122001,0.1,1,213104038,512090131
SOLUTION BRIDGE STONE,,,,GURGAON,122001,0.1,1,213104113,513029486
ORIKAM HEALTHCARE INDIA PVT LTD,,,,GURGAON,122001,0.1,1,213104203,513072586
FIDUS INDIA,,,,GURGAON,122001,0.1,1,213104211,0513075631_2
MISA INDUSTRIAL PRODUCT,,,,GURGAON,122001,0.1,1,213104221,513078428
CRYSTAL WEB,,,,GURGAON,122001,0.1,1,213104298,514008822
PARDUMAN EXIM,,,,GURGAON,122001,0.1,1,213104299,514009357
NSTONE PANELS PVT LTD,,,,GURGAON,122001,0.1,1,213104318,514016329
SMILE OVERSEAS,,,,GURGAON,122001,0.1,1,213104489,0514083328_1
VOHRA ADVISORS,,,,GURGAON,122001,0.1,1,213104490,0514083328_2
ALBROSS ENGINEERING,,,,GURGAON,122001,0.1,1,213104525,515005541
SAKE FABLES HOSPITALITY LLP,,,,GURGAON,122001,0.1,1,213104616,515047937
ELEGANT HYGIENE PVT LTD,,,,GURGAON,122001,0.1,1,213104652,515065838
RARE INTERNATIONAL,,,,GURGAON,122001,0.1,1,213104653,515065986
K S TOOLING,,,,GURGAON,122001,0.1,1,213104698,515911640
ROYALE SPORTSWEAR,,,,GURGAON,122001,0.1,1,213104704,515917907
ALLIED BUSINESS ENGINEERING INDIA P,,,,GURGAON,122001,0.1,1,213104753,516511971
SANMATI RETAIL INC,,,,GURGAON,122001,0.1,1,213104770,516903195
F WAY ENTERPRISES,,,,GURGAON,122001,0.1,1,213104788,516918176
SANDOOJA TRADING CO,,,,GURGAON,122001,0.1,1,213104825,516940473
ERGOSPHERE ERGONOMICS,,,,GURGAON,122001,0.1,1,213104842,516950274
WELD BRAZE ENTERPRISES,,,,GURGAON,122001,0.1,1,213104850,516958127
KP INTERNATIONAL,,,,DELHI,110058,0.1,1,213104249,513088253
K K ENTERPRISES,,,,DELHI,110058,0.1,1,213104266,513094334
TEJASVINI TRADEX PVT LTD,,,,DELHI,110058,0.1,1,213104278,514000899
AYUSHMAAN ENTERPRISES,,,,DELHI,110058,0.1,1,213104297,514008270
RUDRA TRADING COMPANY,,,,DELHI,110058,0.1,1,213104301,514010304
PRATHAM ENTERPRISES,,,,DELHI,110058,0.1,1,213104311,514012625
METAL CRAFT COMPANY,,,,DELHI,110058,0.1,1,213104331,514020393
MANGAL MAHADEV TRADING COMPANY,,,,DELHI,110058,0.1,1,213104354,0514027339_1
MICROTECH TRADING COMPANY,,,,DELHI,110058,0.1,1,213104355,0514027339_2
A S OVERSEAS,,,,DELHI,110058,0.1,1,213104378,514035081
SHREE TRADING COMPANY,,,,DELHI,110058,0.1,1,213104416,514048638
MAHESHWAR ENTERPRISES,,,,DELHI,110058,0.1,1,213104432,514055162
ELEMENT INDIA,,,,DELHI,110058,0.1,1,213104454,514065435
DIVINE INTERNATIONAL,,,,DELHI,110058,0.1,1,213104510,514097949
PAYTON INDUSTRIES PVT LTD,,,,DELHI,110058,0.1,1,213104523,515004456
KHUSHI COMMUNICATIONS PRIVATE,,,,DELHI,110058,0.1,1,213104609,515044407
QUEEN IMPEX PVT LTD,,,,DELHI,110058,0.1,1,213104715,515927414
A ONE INTERNATIONAL,,,,DELHI,110058,0.1,1,213104760,516519808
MALIK ENTERPRISES,,,,DELHI,110058,0.1,1,213104782,516913107
TECHNO TRADE LINKS,,,,DELHI,110058,0.1,1,213104922,517502224
GRD INDUSTRIES,,,,DELHI,110058,0.1,1,213104952,517531836
PM BILLIARDS,,,,DELHI,110058,0.1,1,213110769,DGTPM7594H
INBIOS INDIA,,,,DELHI,110059,0.1,1,213103285,504009885
CHETALI PRINTING PRESS,,,,DELHI,110059,0.1,1,213103299,504042564
JAIN ENTERPRISE,,,,DELHI,110059,0.1,1,213103497,507049349
SMR AVIATION PRIVATE LIMITED,,,,DELHI,110059,0.1,1,213103531,508013046
DAKSH INTERNATIONAL,,,,DELHI,110059,0.1,1,213103801,510097391
NEEDX APPLIANCES,,,,DELHI,110059,0.1,1,213103842,511023901
OVERSEAS IMPORT,,,,DELHI,110059,0.1,1,213103853,511044241
METRO REFRIGERATION,,,,DELHI,110059,0.1,1,213103862,511049846
ARO LINES GROUP,,,,DELHI,110059,0.1,1,213103872,511055056
METAPHOR EXIM PRIVATE LIMITED,,,,DELHI,110059,0.1,1,213103880,511061731
MERU ENERGY INDIA PVT LTD,,,,DELHI,110059,0.1,1,213103892,511075090
GUPTA TRADING CO,,,,DELHI,110059,0.1,1,213104071,513009965
BREMIKK INDUSTRIES PVT LTD,,,,DELHI,110059,0.1,1,213104086,513017429
UNIQUE ENTERPRISES,,,,DELHI,110059,0.1,1,213104137,513040706
RPA IMPEX,,,,DELHI,110059,0.1,1,213104167,513057561
DHRUVA IMPEX,,,,DELHI,110059,0.1,1,213104274,513096108
VIAAN INTERNATIONAL,,,,DELHI,110059,0.1,1,213104277,514000392
CREATIVE INTERNATIONAL,,,,DELHI,110059,0.1,1,213104279,514001178
APEKHSA ENTERPRISES,,,,DELHI,110059,0.1,1,213104288,514004762
VIDESH EXPORTS,,,,DELHI,110059,0.1,1,213104312,514012722
SKY INTERNATIONAL,,,,DELHI,110059,0.1,1,213104319,514016337
EASY WAY TRADERS,,,,DELHI,110059,0.1,1,213104437,514059672
BELMONT ENTERPRISES,,,,DELHI,110059,0.1,1,213104607,515043770
MEDILOGY DEVICES PVT LTD,,,,DELHI,110059,0.1,1,213104735,516007586
CLASSIC TRADING CO,,,,DELHI,110059,0.1,1,213104746,516505271
ATHARV TECH DEVICE AND DISPLAY,,,,DELHI,110059,0.1,1,213104780,516912569
FLIPROBOTICS PRIVATE LIMITED,,,,DELHI,110059,0.1,1,213109294,AADCF1301M
KONCEPT RETAIL CO,,,,DELHI,110060,0.1,1,213104629,515053422
CLAIRE IMPEX INDIA PRIVATE LIMITED,,,,DELHI,110060,0.1,1,213104686,515902608
KASA OVERSEAS PVT LTD,,,,DELHI,110061,0.1,1,213104646,515059081
GOOGO GAAGA ONLINE SERVICES,,,,DELHI,110061,0.1,1,213109567,AAHCG5103A
GLOBAL SOURCING HOUSE,,,,DELHI,110062,0.1,1,213103758,510065449
DORO DESIGNS PRIVATE LIMITED,,,,DELHI,110062,0.1,1,213103904,511087764
BITWARE INFORMATIC PRIVATE LIMITED,,,,DELHI,110062,0.1,1,213103915,511097441
TAIEBA ENTERPRISE,,,,DELHI,110062,0.1,1,213103977,512047318
ORIGINS INC.,,,,DELHI,110062,0.1,1,213103996,512061343
PARAMOUNT INTERNATIONAL,,,,DELHI,110062,0.1,1,213104475,514075015
RAVI RAJ JAIN,,,,DELHI,110063,0.1,1,213101025,0100000053_23
RONIK IMPEX,,,,DELHI,110063,0.1,1,213103289,504027816
NAYAR POWER CONTROLS PRIVATE LTD.,,,,DELHI,110063,0.1,1,213103335,505019582
M/S ANKUR INDUSTRY,,,,DELHI,110063,0.1,1,213103345,505040051
SABIC INTERNATIONAL,,,,DELHI,110063,0.1,1,213103348,505043203
CORPORATE PRINT SOLUTIONS INC,,,,DELHI,110063,0.1,1,213103454,506081711
SHIV SHAKTI TRADING CO.,,,,DELHI,110063,0.1,1,213103485,507031695
GOODRICH IMPEX CHEM,,,,DELHI,110063,0.1,1,213103542,508026920
LIBERTY IMPEX,,,,DELHI,110063,0.1,1,213103554,508047609
B S EXIM P LTD,,,,DELHI,110063,0.1,1,213103556,508050677
NILESH INTERNATIONAL,,,,DELHI,110063,0.1,1,213103557,508050685
ADITYA POLY FILMS,,,,DELHI,110063,0.1,1,213103639,509044891
SAWHNEY ENTERPRISE,,,,DELHI,110063,0.1,1,213103978,512047456
FUSION IMPEX,,,,DELHI,110063,0.1,1,213104017,512077479
SWASTIK ENTERPRISES,,,,DELHI,110063,0.1,1,213104074,513010416
ASIAN OVERSEAS,,,,DELHI,110063,0.1,1,213104165,513056998
DELHI IMPEX,,,,DELHI,110063,0.1,1,213104387,514037351
KAPIL INTERNATIONAL,,,,DELHI,110063,0.1,1,213104396,514040459
AML ISSUE,,,,DELHI,110063,0.1,1,213104461,514067691
BHAKTI ENTERPRISES,,,,DELHI,110063,0.1,1,213104495,514084979
NIMBUS MARINE TRADERS,,,,DELHI,110063,0.1,1,213104630,515054321
LIMPEX WORLD OVERSEAS,,,,DELHI,110063,0.1,1,213104633,515054551
VANDEU INTERNATIONAL PRIVATE LIMITED,,,,DELHI,110063,0.1,1,213104648,515061760
SHREE SALASAR ENTERPRISES,,,,DELHI,110063,0.1,1,213104836,516948041
VAANYA TRADING COMPANY,,,,DELHI,110063,0.1,1,213104882,516977989
PGF LIMITED,,,,DELHI,110063,0.1,1,213107096,2297001002
ZENICA ENTERPRISES,,,,DELHI,110063,0.1,1,213110259,AFMPJ4176M
KAP CONES PVT LTD,,,,DELHI,110064,0.1,1,213103179,500058521
ANTHEM PROMOTIONS,,,,DELHI,110064,0.1,1,213103188,500075531
JAGDAMBA GLASS HOUSE,,,,DELHI,110064,0.1,1,213103429,506054250
DR OPTICAL DISC INDIA PVT LTD,,,,DELHI,110064,0.1,1,213103568,508067715
UTKAL TECHNOCARE PRIVATE LIMITED,,,,DELHI,110064,0.1,1,213103725,510037348
IMPACT TRADERS,,,,DELHI,110064,0.1,1,213103848,511031840
RV INTERNATIONAL,,,,DELHI,110064,0.1,1,213104262,513091645
AAMRITT TREASURY,,,,DELHI,110064,0.1,1,213104494,514084634
NECTAR INDUSTRIES PVT LTD,,,,DELHI,110064,0.1,1,213104737,516500180
VEENOO ELECTRONICS,,,,DELHI,110064,0.1,1,213105061,594001200
ARIGATO AND OBLIGADO MERCHANDISE,,,,DELHI,110065,0.1,1,213103193,501006834
DELHI TYRE SHOPPE,,,,DELHI,110065,0.1,1,213103214,501063668
ABSTRACT MANNEQUINS,,,,DELHI,110065,0.1,1,213103277,503078875
AIRCALL ENTERPRISES,,,,DELHI,110065,0.1,1,213103696,510012086
JS WATER ENERGY LIFE CO,,,,DELHI,110065,0.1,1,213103773,510073310
SHIVAM SALE AND SERVICE,,,,DELHI,110065,0.1,1,213103776,510077145
MUSKAN INFORMATION TECHNOLOGIES,,,,DELHI,110065,0.1,1,213103796,510094627
MANGAL SECURITY PRODUCTS,,,,DELHI,110065,0.1,1,213103913,511095155
BHAGWATEE IMPEX,,,,DELHI,110065,0.1,1,213103929,512004005
CALIBRI GLOBAL INFRA CORP,,,,DELHI,110065,0.1,1,213103999,512065489
SAI TIRUPATHI AQUA PVT LTD,,,,DELHI,110065,0.1,1,213104172,513057927
VIKET SOLUTIONS,,,,DELHI,110065,0.1,1,213104230,513081062
INDIA AVIATION CONSULTING SUPPORT,,,,DELHI,110065,0.1,1,213104276,514000228
VAIBHAV ENTERPRISES,,,,DELHI,110065,0.1,1,213104650,515063908
MUSIC CRADLE LLP,,,,DELHI,110065,0.1,1,213104894,516984586
INTERNATIONAL TEXTILES,,,,DELHI,110065,0.1,1,213105021,589023918
SAMBROS  INDIA  PVT.LTD.,,,,DELHI,110065,0.1,1,213105080,594069963
WITCO ENTERPRISES PRIVATE LIMITED,,,,DELHI,110065,0.1,1,213105163,599063092
ALMUMTAZ IMPORT EXPORT,,,,DELHI,110065,0.1,1,213110156,ADIPW7585M
