B,BNNB,NBNB,NBNB,C,D,NBNB,NBNB,FF,A
SILPA PROJECTS AND INFRASTRUCTURE INDIA PVT LTD,,,,ERNAKULAM,682018,0.1,1,212507225,31
M D RAJAN COMPANY,,,,CHENNAI,600020,0.1,1,212507224,32
BAKSHI CHEMPHARMA EQUIPMENTS PVT LTD.,,,,THANE,400604,0.1,1,212507223,33
SANJEEVE B C/O SEED FOR SAFETY,,,,KANCHIPURAM,600129,0.1,1,212507222,34
TOUCHLIFE TECHNOLOGIES,,,,MOHALI,160055,0.1,1,212507221,35
SRN SERVICES,,,,BANGALORE,560023,0.1,1,212507220,36
360 INTERIOR DESIGNS LLP,,,,DELHI,110030,0.1,1,212507219,37
M S STEEL TRADERS,,,,THANE,400612,0.1,1,212507218,38
SATYAM MANPOWER SERVICES PRIVATE LIMITED,,,,BHARUCH,392160,0.1,1,212507217,39
MORAY SMART SOLUTIONS,,,,VISAKHAPATANAM,530017,0.1,1,212507216,40
KRISHNA CHEM INDUSTRIESS,,,,RAJKOT,360311,0.1,1,212507275,41
PADAMASHREE PIYUSH GOSWAMI,,,,JUNAGADH,362001,0.1,1,212507274,42
S S ENTERPRISES,,,,PUNE,411062,0.1,1,212507273,43
WEST COAST ENGINEERING CORPORATION / SUNGRACE CORPORATION,,,,PUNE,411001,0.1,1,212507272,44
URC CONSTRUCTION PVT LTD,,,,BANGALORE,560008,0.1,1,212507271,45
NEK SINGH,,,,KOTA,324001,0.1,1,212507270,46
SHIVAM INSTRUMENTS AND CONTROLS PRIVATE LIMITED,,,,GURGAON,122001,0.1,1,212507269,47
OMG AUTOMOULD PVT LTD,,,,THANE,401208,0.1,1,212507268,48
ENAR COLLECTIONS,,,,INDORE,452001,0.1,1,212507267,49
M S MONO BASUMATARY,,,,DHUBRI,783369,0.1,1,212507266,50
JAY ENGINEERING,,,,VADODARA,390001,0.1,1,212507265,51
RESCON STRUCTURAL STRENGTHENING PRIVATE LIMITED,,,,THANE,400604,0.1,1,212507264,52
JAIN SHREE MARKETING,,,,INDORE,452015,0.1,1,212507263,53
KAMAKSHI INTEGRATED FACILITY MANAGEMENT LLP,,,,VADODARA,390007,0.1,1,212507262,54
SURENDRA R MISHRA,,,,KUSHINAGAR,274203,0.1,1,212507261,55
CUBEZ DESIGN BUILD PRIVATE LIMITED,,,,BANGALORE,560005,0.1,1,212507260,56
RESCON STRUCTURAL STRENGTHENING PRIVATE LIMITED,,,,THANE,400601,0.1,1,212507259,57
MAHALAXMI FASHION,,,,AHMEDABAD,380026,0.1,1,212507258,58
AVAIDS TECHNOVATORS PVT LTD,,,,NEW DELHI,110060,0.1,1,212507257,59
DHANASHREE ELECTRICALS,,,,NAGPUR,440015,0.1,1,212507256,60
M/S.ORBIT POWER SYSTEM,,,,FARIDABAD,121002,0.1,1,212507215,61
SHRI RENUKA TRADING COMPANY,,,,NASHIK,422013,0.1,1,212507214,62
AVITECH ENGINEERING AND TRADING,,,,ARCOT,631002,0.1,1,212507213,63
M/S RITIK GOYAL AND SOUTH EASTERN COALFIELDS LIMITED,,,,RAIGARH,496661,0.1,1,212507212,64
NETWARE COMPUTERS (TDS-P),,,,NEW DELHI,110070,0.1,1,212507211,65
TUNGSTEN MARKETING,,,,NAGPUR,440018,0.1,1,212507210,66
ESEL ENTERPRISES,,,,ERNAKULAM,682311,0.1,1,212507209,67
DIAGNO SOLUTION PVT. LTD,,,,24 PARAGANA ( N ),700101,0.1,1,212507208,68
SHRI SAINATH INDUSTRIES,,,,AURANGABAD,431136,0.1,1,212507207,69
SAL INFRACON PRIVATE LIMITED,,,,RAJKOT,360001,0.1,1,212507206,70
PATEL ENGINEERS,,,,VADODARA,390023,0.1,1,212507205,71
AKASH ELECTRICALS,,,,VADODARA,390010,0.1,1,212507204,72
NAHAR PAPER AND BOARD MILLS PRIVATE LIMITED.,,,,LUDHIANA,141010,0.1,1,212507203,73
ANDRITZ TECHNOLOGIES PVT LTD (UNDER GLOBAL ENGINEERING CONTRUCTIONS),,,,KOZHIKODE,673633,0.1,1,212507202,74
PARMAR INDRASINH H,,,,SABARKANTHA,383001,0.1,1,212507201,75
M/S URVASI INFRATECH PVT LTD A/C CHANDRALEKHA CONSTRUCTIONS PVT LTD,,,,GHAZIABAD,201001,0.1,1,212507200,76
REAL TECHNO ENERGY AND GAS PVT LTD,,,,FARIDABAD,121003,0.1,1,212507199,77
JAY GAURI PROJECTS (I) PVT LTD,,,,JAIPUR,302018,0.1,1,212507198,78
UNIFIED SOLUTIONS,,,,RAJKOT,360005,0.1,1,212507197,79
FLAMMER TECHNOLOGIES LLP,,,,VADODARA,390010,0.1,1,212507196,80
IKEA INDIA PRIVATE LIMITED,,,,GURGAON,122002,0.1,1,212506323,81
ZEPPELIN SYSTEMS INDIA PVT. LTD,,,,VADODARA,390003,0.1,1,212506322,82
KAYPEE ELECTRONICS AND ASSOCIATES PVT LTD,,,,BANGALORE,562125,0.1,1,212506321,83
YAMAHA MOTOR RESEARCH AND DEVELOPMENT INDIA PRIVATE LIMITED,,,,GAUTAM BUDH NAGAR,201306,0.1,1,212506320,84
EIGHTY TWO POINT FIVE COMMUNICATIONS PRIVATE LIMITED,,,,MUMBAI,400099,0.1,1,212506319,85
COMPATIO INDIA PVT.LTD,,,,ERNAKULAM,682025,0.1,1,212506318,86
VANTAGE NUTRITION LLP,,,,SATARA,412801,0.1,1,212506317,87
OGILVY AND MATHER PRIVATE LIMITED,,,,MUMBAI,400099,0.1,1,212506316,88
PRODIGY MATH GAME INDIA PRIVATE LIMITED,,,,BANGALORE,560024,0.1,1,212506335,89
ACCESS MATRIX TECHNOLOGIES PRIVATE LIMITED,,,,BANGALORE,560034,0.1,1,212506334,90
SHREE RAM MEASUREMENT TECHNOLOGIES PVT LTD,,,,DURG,490023,0.1,1,212506333,91
A.J. TEA HOUSE PRIVATE LTD,,,,KOLKATA,700014,0.1,1,212506332,92
MESINDUS VENTURE PRIVATE LIMITED,,,,BANGALORE,560001,0.1,1,212506331,93
BATCHMASTER SOFTWARE PVT LTD,,,,INDORE,452010,0.1,1,212506330,94
GRINNTECH MOTORS AND SERVICES PRIVATE LIMITED,,,,CHENNAI,600058,0.1,1,212506329,95
WOLTERS KLUWER ELM SOLUTIONS PRIVATE LIMITED,,,,CHENNAI,600112,0.1,1,212506328,96
MORGAN MCKINLEY SERVICES PRIVATE LIMITED,,,,KOZHIKODE,673310,0.1,1,212506327,97
USV PRIVATE LIMITED,,,,MUMBAI,400088,0.1,1,212506326,98
WOLTERS KLUWER INDIA PRIVATE LIMITED,,,,MUMBAI,400059,0.1,1,212506325,99
KERALA RAIL DEVELOPMENT CORPORATION LTD,,,,TRIVANDRUM,695014,0.1,1,212506324,100
SPY ENTERPRISES,,,,MUMBAI,400022,0.1,1,212507175,101
ROUTE TO MARKET MEDIA INDIA PRIVATE LIMITED,,,,BANGALORE,560004,0.1,1,212507174,102
YADAV FABRICATION & CONTRACTOR,,,,PUNE,411041,0.1,1,212507173,103
SHAKTHI PRECISION FABS,,,,BANGALORE,560092,0.1,1,212507172,104
S-GEN CONSORTIUM INFRA PRIVATE LIMITED,,,,BARDDHAMAN,713101,0.1,1,212507171,105
H R INTERIOR,,,,MUMBAI,400051,0.1,1,212507170,106
JAI BALAJI TRADERS,,,,JHANSI,284120,0.1,1,212507169,107
M/S RITES LTD AND HYT LENDI JV,,,,AHMEDABAD,382465,0.1,1,212507168,108
VASU CHEMICALS LLP,,,,MUMBAI,400059,0.1,1,212507167,109
KAMLESH KUMAR YADAV,,,,BALRAMPUR,271201,0.1,1,212507166,110
IGARASHI MOTORS INDIA LTD,,,,KANCHEEPURAM,600045,0.1,1,212507165,111
UNIQUE CONSTRUCTION,,,,PUNE,412105,0.1,1,212507164,112
VISHAL INFRASTRUCTURE LIMITED,,,,BANGALORE,560004,0.1,1,212507163,113
MATANGI SERVICES,,,,VADODARA,390021,0.1,1,212507162,114
"HYATT PLACE, HYDERABAD",,,,HYDERABAD,500034,0.1,1,212507161,115
MEHULENDRA CORPORATION,,,,VADODARA,390011,0.1,1,212507160,116
BHARAT CONSTRUCTION,,,,SHAHDOL,484001,0.1,1,212507159,117
MEHULENDRA CORPORATION,,,,VADODARA,390011,0.1,1,212507158,118
SPACEWOOD FURNISHERS PVT LTD,,,,NAGPUR,440016,0.1,1,212507157,119
PRODCONTROL INDIA PRIVATE LIMITED,,,,COIMBATORE,641030,0.1,1,212507156,120
BHOOMI CREATION,,,,SURAT,395010,0.1,1,212505375,121
M/S INNOVIC ENERGY LLP,,,,GHAZIABAD,201301,0.1,1,212505374,122
TDS INTRICAST,,,,AHMEDABAD,382430,0.1,1,212505373,123
DEBASISH CHAKRABARTY,,,,DEHRADUN,248001,0.1,1,212505372,124
SANAD SYNTAX,,,,THANE,421302,0.1,1,212505371,125
SUNDEEP PLASTICS,,,,THANE,401208,0.1,1,212505370,126
PAARTH BYOUIN PRIVATE LIMITED,,,,KANPUR,208012,0.1,1,212505369,127
EKTA CREATION,,,,SURAT,395010,0.1,1,212505368,128
TALIS VALVES INDIA PVT LTD,,,,K.V.RANGAREDDY,500032,0.1,1,212505367,129
MAHAVIR FABRICS,,,,MUMBAI,400002,0.1,1,212505366,130
PARTH TEXTILES,,,,THANE,421302,0.1,1,212505365,131
SRI DURGAI ENTERPRISES,,,,CHENNAI,600063,0.1,1,212505364,132
GANESH CREATION,,,,SURAT,395010,0.1,1,212505363,133
SH.KOMAL KUMAR JAIN AND FAMILY,,,,LUDHIANA,141001,0.1,1,212505362,134
VIMAL DAIRY LTD,,,,AHMEDABAD,380054,0.1,1,212505361,135
AMAN INTERNATIONAL,,,,MUMBAI,400069,0.1,1,212505360,136
AARSH ENTERPRISES,,,,THANE,421302,0.1,1,212505359,137
PRABHA CONTINUOUS UTILITY SERVICES,,,,VADODARA,390016,0.1,1,212505358,138
M/S POOJA TRADERS,,,,KANPUR,208001,0.1,1,212505357,139
AKSHIT TRADERS,,,,CHENNAI,600083,0.1,1,212505356,140
K DINESHKUMAR,,,,THANE,421302,0.1,1,212505395,141
SONI DESIGNER STUDIO,,,,LUCKNOW,226004,0.1,1,212505394,142
MS. MERCHANT SIZERS,,,,THANE,421302,0.1,1,212505393,143
EMBELLISH TEX FAB,,,,SURAT,395010,0.1,1,212505392,144
MS. MOHAMED SIZING WORKS,,,,THANE,421302,0.1,1,212505391,145
CHAWLA REFRIGERATIONS AND SONS,,,,GHAZIABAD,201007,0.1,1,212505390,146
INTERNATIONAL MARKETING CORPORATION PVT LTD,,,,KRISHNA,520007,0.1,1,212505389,147
NIKUNJ MATHUR,,,,NEW DELHI,110076,0.1,1,212505388,148
HOLITECH INDIA PVT LTD,,,,NOIDA,201306,0.1,1,212505387,149
PARTH TEXPRO PVT LTD,,,,THANE,421302,0.1,1,212505386,150
M/S NIPPON TAILORS AND TEXTORIUM,,,,SURAT,395010,0.1,1,212505385,151
ARVIND KUMAR &AMP; CO,,,,MUMBAI,400062,0.1,1,212505384,152
BIKKIS BAKERS AND CONFECTIONERS,,,,LUCKNOW,226012,0.1,1,212505383,153
SHIVYUG ENTERPRISES,,,,SONIPAT,131001,0.1,1,212505382,154
CHARAN STATIONERS,,,,LUCKNOW,226018,0.1,1,212505381,155
GUOJING TECHNOLOGY INDIA PRIVATE LIMITED,,,,NOIDA,201306,0.1,1,212505380,156
ARVIND POLYMERS,,,,MUMBAI,400062,0.1,1,212505379,157
SHREE PADAM TEXTILES,,,,THANE,421302,0.1,1,212505378,158
ASTORIA CO-OP HOUSING SOCIETY LTD,,,,THANE,400607,0.1,1,212505377,159
SURYA AUTO PARTS,,,,GURGAON,122001,0.1,1,212505376,160
GLOBAL MANPOWER SOLUTION,,,,GURGAON,122001,0.1,1,212505415,161
VARIETY INDUSTRIES,,,,DEHRADUN,248001,0.1,1,212505414,162
PSK PCC ( JV ),,,,AGRA,282007,0.1,1,212505413,163
EX. ENGI. P. H. MECH. DIV. JAMNAGAR A/C. LAKHANI ENGINEERS & ORGANISATION,,,,SURAT,395003,0.1,1,212505412,164
VISHVAKARMA ENGINEERING,,,,RAJKOT,360002,0.1,1,212505411,165
UNIFORM BLENDERS PVT LTD,,,,AHMEDABAD,380006,0.1,1,212505410,166
ANKUSH ENTERPRISES,,,,MUMBAI,400013,0.1,1,212505409,167
L C PACKERS PRIVATE LIMITED,,,,NEW DELHI,110059,0.1,1,212505408,168
SHIV PRIYA SYNTEX,,,,THANE,421302,0.1,1,212505407,169
TECHWIN INTERNATIONAL,,,,THANE,421302,0.1,1,212505406,170
JMD ENTERPRISES,,,,NEW DELHI,110086,0.1,1,212505405,171
INTERNATIONAL MARKETING CORPORATION PVT LTD,,,,KRISHNA,520001,0.1,1,212505404,172
P R FAB,,,,SURAT,394180,0.1,1,212505403,173
DHIRAJ KUMAR SINGH,,,,GAUTAM BUDH NAGAR,201301,0.1,1,212505402,174
MS. PHOENIX SIZING WORKS,,,,THANE,421302,0.1,1,212505401,175
AMIT FASHION PROP AMIT OMPRAKASH KHURANA,,,,SURAT,394221,0.1,1,212505400,176
VG METPRO PRIVATE LIMITED,,,,RAJKOT,360024,0.1,1,212505399,177
MARUTI THREAD,,,,SURAT,394180,0.1,1,212505398,178
KHUSHI SALE,,,,RAIGARH,496001,0.1,1,212505397,179
M/S AMAR TRADING CO.,,,,LUDHIANA,141001,0.1,1,212505396,180
VINAYAK FOOD WORKS,,,,HALOL,389350,0.1,1,212505355,181
RAHEJA COMPUTERS,,,,FIROZPUR,142047,0.1,1,212505354,182
SNACKSMITHS PRIVATE LIMITED,,,,THANE,401208,0.1,1,212505353,183
PACIFIC KNITWEAR,,,,LUDHIANA,141001,0.1,1,212505352,184
SUNSHINE PLASTICS,,,,DADRA & NAGAR HAVELI,396230,0.1,1,212505351,185
MS TROIX CHEMICALS PVT LTD,,,,MUMBAI,400003,0.1,1,212505350,186
LUCKY NEXT,,,,MUMBAI,400076,0.1,1,212505349,187
KRISHNA GARMENTS,,,,MUMBAI,400060,0.1,1,212505348,188
MAHALAXMI TEXTILES,,,,THANE,421501,0.1,1,212505347,189
SANSKRITI SALES CORPORATION,,,,KANPUR,208014,0.1,1,212505346,190
R N PEB SERVICES LLP,,,,AHMEDABAD,382220,0.1,1,212505345,191
S AKSHATKUMAR,,,,THANE,421302,0.1,1,212505344,192
SUNRISE INFRASOLUTIONS PRIVATE LIMITED,,,,MUMBAI,400099,0.1,1,212505343,193
PREETYS,,,,MUMBAI,400064,0.1,1,212505342,194
NIKITA PLASTOCHEM PVT LTD,,,,MUMBAI,400003,0.1,1,212505341,195
EXPRESS ZONE A WING CO OP PREMISES SOC LTD,,,,MUMBAI,400063,0.1,1,212505340,196
LUIS VAZ (INIFD BANDRA),,,,MUMBAI,400050,0.1,1,212505339,197
ADITYA INTERNATIONAL,,,,MUMBAI,400064,0.1,1,212505338,198
INFIGO LIFESCIENCES PVT LTD,,,,THANE,400604,0.1,1,212505337,199
PAGARIA ADVISORY PRIVATE LIMITED,,,,THANE,400614,0.1,1,212505336,200
RIDDHI SIDDHI ROTER DIE CAST,,,,AHMEDABAD,382330,0.1,1,212507195,201
MW ENGINEERING,,,,RAIGARH,410206,0.1,1,212507194,202
R K CONSTRUCTION,,,,BHARUCH,392030,0.1,1,212507193,203
VISHWADUTT MINERALS PVT LTD,,,,NAGPUR,440028,0.1,1,212507192,204
SAFE SERVICE CORPORATION,,,,RAJKOT,363621,0.1,1,212507191,205
DIVYA ELECTRICAL TRANSFORMERS AND SERVICES PRIVATE LIMITED,,,,KRISHNA,520008,0.1,1,212507190,206
SAI SHIVA TECHNOLOGIES,,,,HYDERABAD,500054,0.1,1,212507189,207
RANE BRAKE LINING LIMITED,,,,CHENNAI,600058,0.1,1,212507188,208
SUPRABHA PROTECTIVE PRODUCTS PVT LTD,,,,THANE,400607,0.1,1,212507187,209
RITES LTD-ARYAN CONSTRUCTIONS,,,,MYSORE,570010,0.1,1,212507186,210
FORTUCO CONSTRUCTION,,,,VADODARA,390021,0.1,1,212507185,211
ACTIVATE INFOCOM PRIVATE LIMITED,,,,DELHI,110092,0.1,1,212507184,212
BNB ENGINEERS,,,,GURGAON,122017,0.1,1,212507183,213
PARFAIT ENGINEERS AND CONTRACTORS PRIVATE LIMITED,,,,CHENNAI,600103,0.1,1,212507182,214
NB CONSTRUCTIONS PVT LTD,,,,GURGAON,122009,0.1,1,212507181,215
ARCHANA MATERNITY AND NURSING HOME,,,,THANE,400709,0.1,1,212507180,216
SMK ENGINEERS,,,,BANGALORE,562109,0.1,1,212507179,217
PARFAIT ENGINEERS AND CONTRACTORS PRIVATE LIMITED,,,,CHENNAI,600103,0.1,1,212507178,218
J P CONSTRUCTION,,,,BHARUCH,392001,0.1,1,212507177,219
V K ENTERPRISE,,,,VADODARA,390019,0.1,1,212507176,220
TEKROI PVT LTD,,,,HYDERABAD,500009,0.1,1,212506315,221
VALMET TECHNOLOGIES & SERVICES PRIVATE LIMITED,,,,PUNE,411007,0.1,1,212506314,222
DIGITAL IDENTITY INDIA PRIVATE LIMITED,,,,BANGALORE,560001,0.1,1,212506313,223
GULSHAN CERAMICS,,,,BANGALORE,560050,0.1,1,212506312,224
FACTWEAVERS TECHNOLOGIES LLP,,,,ERNAKULAM,682016,0.1,1,212506311,225
SYSTACARE REMEDIES,,,,AMRITSAR,143001,0.1,1,212506310,226
SIMBA QUARTZ,,,,AMRITSAR,143149,0.1,1,212506309,227
BROWN-FORMAN INDIA PRIVATE LIMITED,,,,GURGAON,122002,0.1,1,212506308,228
YAMAHA MOTOR INDIA PVT LIMITED,,,,CHENNAI,600097,0.1,1,212506307,229
JASJIT SINGH PROPERTY TRUST,,,,MUMBAI,400102,0.1,1,212506306,230
ACG PAM PHARMA TECHNOLOGIES PVT LTD.,,,,MUMBAI,400067,0.1,1,212506305,231
SCITECH CENTRE,,,,MUMBAI,400102,0.1,1,212506304,232
YAMAHA MOTOR INDIA SALES PRIVATE LIMITED,,,,CHENNAI,600097,0.1,1,212506303,233
MACMILLON PHARMACEUTICALS LTD,,,,AMRITSAR,143001,0.1,1,212506302,234
ENDURANCE TECHNOLOGIES LTD,,,,AURANGABAD,431136,0.1,1,212506301,235
WAYPOINT TECHNOLOGIES INDIA PRIVATE LIMITED,,,,HYDERABAD,500081,0.1,1,212506300,236
LEVIM BIOTECH LLP,,,,CHENNAI,600113,0.1,1,212506299,237
APEX POWER TOOLS INDIA PRIVATE LIMITED,,,,PUNE,411057,0.1,1,212506298,238
BLACKSTONE ADVISORS INDIA PRIVATE LIMITED,,,,MUMBAI,400021,0.1,1,212506297,239
ALIGNED AUTOMATION SERVICES PRIVATE LIMITED,,,,PUNE,411014,0.1,1,212506296,240
DR. HARENDRA SINGH JAT,,,,COIMBATORE,641037,0.1,1,212506015,241
DR AREENDAM BARUA,,,,KAMRUP,781024,0.1,1,212506014,242
DR. GANESH TENDULKAR,,,,MUMBAI,400063,0.1,1,212506013,243
DR ISHWAR CHANDER GARG,,,,PANIPAT,132101,0.1,1,212506012,244
DR. SANJEEV J JUWARKAR,,,,NORTH GOA,403002,0.1,1,212506011,245
DR. SHWETA BOBHATE,,,,PUNE,412115,0.1,1,212506010,246
DR. SRIBALAJI PRABHU,,,,BANGALORE,560043,0.1,1,212506009,247
DR ROHIL KAKKAR,,,,PUNE,411028,0.1,1,212506008,248
M/S TPF GETINSA EUROSTUDIOS S.L IN ASSOCIATION WITH M/S STERLING INDO TECH CONSULTANTS PVT. LTD,,,,ALWAR,302021,0.1,1,212506007,249
CHENNAI KRISHNA HOSPITAL,,,,CHENNAI,600044,0.1,1,212506006,250
M/S TPF GETINSA EUROSTUDIOS S.L IN ASSOCIATION WITH M/S STERLING INDO TECH CONSULTANTS PVT. LTD,,,,ALWAR,302021,0.1,1,212506005,251
M/S TPF GETINSA EUROSTUDIOS S.L IN ASSOCIATION WITH M/S STERLING INDO TECH CONSULTANTS PVT. LTD,,,,ALWAR,302021,0.1,1,212506004,252
M/S TPF GETINSA EUROSTUDIOS S.L IN ASSOCIATION WITH M/S STERLING INDO TECH CONSULTANTS PVT. LTD,,,,ALWAR,302021,0.1,1,212506003,253
PETRONAS LUBRICANTS INDIA PVT LTD,,,,MUMBAI,400093,0.1,1,212506002,254
M/S BANSAL PROVISION STORE,,,,CHANDIGARH,160047,0.1,1,212506001,255
RUCHI SOYA INDUSTRIES LIMITED,,,,INDORE,452010,0.1,1,212506000,256
RAHEJA VISTAS CO OPERATIVE HOUSING SOCIETY LIMITED,,,,MUMBAI,400072,0.1,1,212505999,257
STAR DENTAL CENTRE PRIVATE LIMITED,,,,NEW DELHI,110029,0.1,1,212505998,258
BHARAT JAGRITI CO-OPERATIVE GROUP HOUSING SOCIETY LTD,,,,NEW DELHI,110078,0.1,1,212505997,259
SWAAS TECH SOLUTIONS,,,,KRISHNA,521225,0.1,1,212505996,260
HIRA FERRO ALLOYS LIMITED,,,,RAIPUR,492003,0.1,1,212505755,261
VARMORA INTERNATIONAL,,,,RAJKOT,363621,0.1,1,212505754,262
FLEXI EFFICADS PRIVATE LIMITED,,,,BANGALORE,560105,0.1,1,212505753,263
VIBRANT SOLUTIONS,,,,PUNE,411033,0.1,1,212505752,264
RAVI TECHNOFORGE PVT LTD,,,,RAJKOT,360021,0.1,1,212505751,265
FLYTRON ELECTRICALS P LTD,,,,AHMEDABAD,382330,0.1,1,212505750,266
A. C. HUMIDIN AIR SYSTEMS PRIVATE LIMITED,,,,GHAZIABAD,201002,0.1,1,212505749,267
ENDEAVOUR APPARELS PRIVATE LIMITED,,,,BHAGALPUR (M.CORP),812002,0.1,1,212505748,268
MODERN LAMINATORS LIMITED,,,,GANDHINAGAR,382721,0.1,1,212505747,269
ANKUR TRADERS & ENGINEERS PVT LTD,,,,GHAZIABAD,201009,0.1,1,212505746,270
POWER ONE MICRO SYSTEMS PRIVATE LIMITED,,,,BANGALORE,560058,0.1,1,212505745,271
M/S NUTAN POLYSPIN IND PVT LTD,,,,BHIWANDI,421302,0.1,1,212505744,272
ZHENG YUAN MOBILES PRIVATE LIMITED,,,,DEHRADUN,248001,0.1,1,212505743,273
INKARP INSTRUMENTS PVT LTD,,,,HYDERABAD ,500007,0.1,1,212505742,274
RENON INDIA PRIVATE LIMITED,,,,SURAT,394230,0.1,1,212505741,275
RELIANCE INDUSTRIES LTD.,,,,NAVI MUMBAI,400701,0.1,1,212505740,276
COMPETENT CRIMPING MACHINERY PVT LTD,,,,GAUTAM BUDH NAGAR,201309,0.1,1,212505739,277
ZHENG YUAN MOBILES PRIVATE LIMITED,,,,RANCHI,834001,0.1,1,212505738,278
ACTONICS INDIA PVT LTD,,,,BANGALORE,560091,0.1,1,212505737,279
A CLASS MARBLE INDIA PVT LTD,,,,AJMER,305802,0.1,1,212505736,280
WAL MART INDIA PRIVATE LIMITED,,,,BANGALORE,560103,0.1,1,212505735,281
JSW STEEL LTD,,,,MUMBAI,400051,0.1,1,212505734,282
ANJANI UDYOG PRIVATE LIMITED,,,,KUTCH,370421,0.1,1,212505733,283
J K PAPER LTD,,,,SURAT,394680,0.1,1,212505732,284
INDO PACIFIC AVIATION PRIVATE LIMITED,,,,NEW DELHI,110057,0.1,1,212505731,285
TEKFRIDAY PROCESSING SOLUTIONS PRIVATE LIMITED,,,,HYDERABAD,500034,0.1,1,212505730,286
IKEA INDIA PRIVATE LIMITED,,,,BANGALORE,560045,0.1,1,212505729,287
TERADATA INDIA PVT LTD,,,,GURGAON,122002,0.1,1,212505728,288
TERADATA INDIA PVT LTD,,,,GURGAON,122002,0.1,1,212505727,289
TERADATA INDIA PVT LTD,,,,GURGAON,122002,0.1,1,212505726,290
ZOMATO LIMITED,,,,GURGAON,122009,0.1,1,212505725,291
ZOMATO LIMITED,,,,GURGAON,122009,0.1,1,212505724,292
CIEL HR SERVICES PRIVATE LIMITED,,,,JAMNAGAR,361008,0.1,1,212505723,293
CIEL HR SERVICES PRIVATE LIMITED,,,,JAMNAGAR,361008,0.1,1,212505722,294
CHANDUKAKA SARAF AND SONS PRIVATE LIMITED,,,,PUNE,413102,0.1,1,212505721,295
CHANDUKAKA SARAF AND SONS PRIVATE LIMITED,,,,PUNE,413102,0.1,1,212505720,296
ALPHA CORP DEVELOPMENT PVT LTD,,,,GURGAON,122002,0.1,1,212505719,297
ALPHA CORP DEVELOPMENT PVT LTD,,,,GURGAON,122002,0.1,1,212505718,298
GOC SERVICES INDIA PRIVATE LIMITED,,,, HYDERABAD ,500032,0.1,1,212505717,299
GOC SERVICES INDIA PRIVATE LIMITED,,,, HYDERABAD ,500032,0.1,1,212505716,300
QUARTICDOTAI LLP,,,,KOLAR,560029,0.1,1,212505695,301
CAPER INDIA PRIVATE LIMITED,,,,MUMBAI,400099,0.1,1,212505694,302
EFFECTIVE TELE SERVICES PVT. LTD.,,,,GANDHINAGAR,382009,0.1,1,212505693,303
PAGE INDUSTRIES LIMITED,,,,BANGALORE,560103,0.1,1,212505692,304
